8,4,/texture/Objects/Floor.png
1,10,/texture/Objects/Floor.png
3,18,/texture/Objects/Wall.png
@
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0
0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
